"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"APPARATUS AND METHODS FOR MICROFLUIDIC APPLICATIONS","US2012195809 (A1); US8790595 (B2)","2012-08-02","POLWART STUART [GB];  FEARNLEY JOEL [GB];  ROY DOUGLAS [GB];  GHAZAL PETER [GB]","POLWART STUART [GB];  FEARNLEY JOEL [GB];  ROY DOUGLAS [GB];  GHAZAL PETER [GB];  AGILENT TECHNOLOGIES INC [US]","B01L3/00; B23P17/04; B32B37/02; B81B1/00; G01N27/447; G01N35/00; B29C51/00; C40B60/14","B01L3/00; B01L3/502707; B01L3/505; B81B1/00; G01N27/447; G01N27/44704; G01N27/44791; G01N35/00009; B01J2219/00317; B01J2219/00495; B01J2219/00518; B01J2219/00585; B01J2219/00596; B01J2219/00605; B01J2219/00659; B01J2219/0074; B01L2200/10; B01L2200/12; B01L2300/021; B01L2300/042; B01L2300/044; B01L2300/0812; B01L2300/161; B01L2300/18; B01L2400/0406; B01L2400/0415; B01L2400/0457; B29C51/00; B29C2791/007; B33Y80/00; C40B60/14; G01N27/44773; G01N27/44782; Y10T29/494; Y10T156/1002","US201213367979","20120207","US201213367979 20120207; GB20010028350 20011127; US20040496741 20041209; WO2002GB05367 20021127","US6426230 (B1); US3689224 (A); US6125292 (A); US6627159 (B1); US6632653 (B1); US2002090644 (A1); US5108530 (A); US5217563 (A); US2011085949 (A1); US6541213 (B1); US2003124619 (A1); US2004256230 (A1); US7108440 (B1); US7550267 (B2); US7294478 (B1); US3689224 (A); US5108530 (A); US5217563 (A); US6125292 (A); US6426230 (B1); US6541213 (B1); US6627159 (B1); US6632653 (B1); US7108440 (B1); US7294478 (B1); US7550267 (B2); US2002090644 (A1); US2003124619 (A1); US2004256230 (A1); US2011085949 (A1)","","","","","","","","US4049147 (A); US4065263 (A); US4247591 (A); US4472471 (A); US4673657 (A); US5500071 (A); US5658647 (A); US5665469 (A); US5858195 (A); US5882571 (A); US6063589 (A); US6103199 (A); US6123798 (A); US6274089 (B1); US2004101442 (A1); US2005089449 (A1); WO9919717 (A1); WO9965664 (A1); WO0154814 (A2); WO02081934 (A2); WO2004080597 (A2)","","","","",""
"EXOSKELETON","US2012179075 (A1)","2012-07-12","PERRY JOEL [US];  ROSEN JACOB [US]","PERRY JOEL [US];  ROSEN JACOB [US];  UNIV WASHINGTON [US]","A61H1/02","B25J9/0006; A61H1/0274","US201113100959","20110504","US201113100959 20110504; US20070729998 20070329; US20060743934P 20060329","","","","","","","","","","","","","",""
"Control System for a Mobility Aid","US2012172770 (A1)","2012-07-05","ALMESFER FAISAL [NZ];  GRIMMER ALAN JOHN [NZ]","ALMESFER FAISAL [NZ];  GRIMMER ALAN JOHN [NZ]","A61H1/02","A61F5/0102; A61H1/0255; A61H3/00; B25J9/0006; A61F2005/0155; A61H2201/0111; A61H2201/0184; A61H2201/1207; A61H2201/149; A61H2201/164; A61H2201/165; A61H2201/1676; A61H2201/5007; A61H2201/5028; A61H2201/5043; A61H2201/5046; A61H2201/5048; A61H2201/5058; A61H2201/5066; A61H2201/5069; A61H2201/5071; A61H2201/5084; A61H2201/5092; G05B2219/40305","US200913381491","20090701","WO2009NZ00130 20090701","US2010094188 (A1); US5402050 (A); US5404086 (A); US5432417 (A); US5974366 (A); US6177776 (B1); US2005171635 (A1); US2005192677 (A1); US2006211956 (A1); US2006224247 (A1); US2007050045 (A1); US2007050047 (A1); US2007056592 (A1); US2007145930 (A1); US2008161937 (A1); US2008234608 (A1); US2008310705 (A1); US2009036815 (A1); US2009099689 (A1); US7530410 (B2); US2009222105 (A1); US2009292369 (A1); US2009306824 (A1); US2010113980 (A1); US2010114329 (A1); US2010126785 (A1); US2010262044 (A1); US2010305478 (A1); US2011066088 (A1); US2005049748 (A1); US2006173578 (A1); US2009271037 (A1); US2009030530 (A1); US7561941 (B2); US2011257764 (A1)","","","","","","","","","","","","",""
"METHOD AND APPARATUS FOR GROSS MOTOR VIRTUAL FEEDBACK","US2012156661 (A1)","2012-06-21","SMITH DAVID ALAN [US];  CROWE RANDEL A [US]","SMITH DAVID ALAN [US];  CROWE RANDEL A [US];  LOCKHEED CORP [US]","G09B19/00","G09B9/003","US20100969901","20101216","US20100969901 20101216","US5641288 (A); US2012179075 (A1); US6552729 (B1); US2012010749 (A1); US8170656 (B2); US2006206167 (A1); US2006105299 (A1); US2009278917 (A1); US2012046901 (A1); US2008146302 (A1); US6148280 (A)","","","","","","","","","","","","",""
"BUILDING STRUCTURE AND METHOD","US2012102875 (A1); US8627612 (B2)","2012-05-03","WILSEY MARK E [US]","WILSEY MARK E [US]","E04B1/00; E04H15/54","E04B1/161; E04C5/07; E04B2001/0061; E04B2/845","US201113337885","20111227","US201113337885 20111227; US20060309015 20060608; US20050595139P 20050608","US3506746 (A); US3932969 (A); US4077177 (A); US4159361 (A); US4279680 (A); US4488392 (A); US5094044 (A); US3277219 (A); US3277219 (A); US3506746 (A); US3932969 (A); US4077177 (A); US4159361 (A); US4279680 (A); US4488392 (A); US5094044 (A)","","","","","","","","US3572002 (A); US3619432 (A); US4064663 (A); US4253288 (A); US4265961 (A); US4287241 (A); US4581860 (A); US4617219 (A); US5230844 (A); US5566521 (A); US5771649 (A); US5803964 (A); US6108993 (A); US6490834 (B1); US6960394 (B2); US7166365 (B2)","","","","",""
"Collabsible Bottle, Method Of Manufacturing A Blank For Such Bottle And Beverage-Filled Bottle Dispensing System","US2012097634 (A1); US8540094 (B2)","2012-04-26","RIEDL JOHN THOMAS [AU]","RIEDL JOHN THOMAS [AU]","B65D90/02; B31B39/26","B29B11/06; B29B11/14; B29C65/087; B29C66/1122; B29C66/43; B29C66/72341; B29C66/72343; B29C66/73921; B65D11/04; B29C53/04; B29C53/40; B29C65/18; B29C65/7894; B29C66/0042; B29C66/4326; B29C66/71; B29C66/72321; B29C66/8122; B29C66/81457; B29C66/83413; B29C66/843; B29C2793/009; B29L2022/02; B29L2031/7158; Y10T428/1393; B29C66/71; B29K2023/06; B29C66/71; B29K2023/0633; B29C66/71; B29K2023/065; B29C66/8122; B29K2827/18","US201013379655","20100621","AU20090902936 20090621; WO2010AU00774 20100621","US1342769 (A); US4017008 (A); US3460740 (A); US1342769 (A); US3460740 (A); US4017008 (A)","","","","","","","","US2751953 (A); US4447974 (A); US2009104324 (A1); CA2034944 (A1); DE3813218 (A1)","","","","",""
"APPARATUS FOR MANIPULATING JOINTS OF A LIMB","US2012059291 (A1); US8622939 (B2)","2012-03-08","NGUYEN CHAU HOANG THANH [AU]","NGUYEN CHAU HOANG THANH [AU];  BES REHAB LTD [GB]","A61H1/02","A61H1/0288; A61H1/024; A61H1/0266; A61H1/0277; A61H1/0281; A61H1/0285; A61H2201/123; A61H2201/149; A61H2201/165; A61H2201/5002; A61H2201/501; A61H2201/5061; A61H2201/5064","US20100876041","20100903","US20100876041 20100903","US8255079 (B2); US2003073939 (A1); US3564673 (A); US2004258471 (A1); US4875469 (A); US2010248676 (A1); US2006205526 (A1); US6647597 (B2); US7370368 (B2); US2007191743 (A1); US7823760 (B2); US3694021 (A); US2003218105 (A1); US5683351 (A); US2008282445 (A1); US2007083968 (A1); US2012059290 (A1); US4765320 (A); US5178137 (A); US5516249 (A); US5865770 (A); US2003162634 (A1); US2003195093 (A1); US2006211964 (A1); US8348810 (B2); US3564673 (A); US3694021 (A); US4765320 (A); US4875469 (A); US5178137 (A); US5516249 (A); US5683351 (A); US5865770 (A); US6647597 (B2); US7370368 (B2); US7823760 (B2); US8255079 (B2); US8348810 (B2); US2003073939 (A1); US2003162634 (A1); US2003195093 (A1); US2003218105 (A1); US2004258471 (A1); US2006205526 (A1); US2006211964 (A1); US2007083968 (A1); US2007191743 (A1); US2008282445 (A1); US2010248676 (A1); US2012059290 (A1)","","","","","","","","","","","","",""
"SYSTEM AND METHOD FOR OPERATING AN EXOSKELETON ADAPTED TO ENCIRCLE AN OBJECT OF INTEREST","US2012043920 (A1); US8723471 (B2)","2012-02-23","VAN DEN EERENBEEMD JACOBUS MARIA ANTONIUS [NL];  CROMPVOETS FLORIS MARIA HERMANSZ [NL]","VAN DEN EERENBEEMD JACOBUS MARIA ANTONIUS [NL];  CROMPVOETS FLORIS MARIA HERMANSZ [NL];  KONINKL PHILIPS ELECTRONICS NV [NL]","G05B13/00","A61H1/00; A61H1/02; A61H3/00; A61H31/00; A63B21/00178; A63B21/00181; A63B21/005; A61H2011/005; A61H2201/5007; A61H2201/5061; A63B23/185","US201013318399","20100428","EP20090159365 20090505; WO2010IB51851 20100428","US6332629 (B1); US5716330 (A); US2002101210 (A1); US2004201308 (A1); US2007167855 (A1); US5659473 (A); US5659473 (A); US5716330 (A); US6332629 (B1); US2002101210 (A1); US2004201308 (A1); US2007167855 (A1)","","","","","","","","US6162183 (A); US2002077224 (A1); US2007203433 (A1)","","","","",""
"Cell Separation Method And Apparatus","US2012021501 (A1); US8241592 (B2)","2012-01-26","DUFFY JR NEIL F [US];  CHABOT JEFFREY R [US];  KISLAUSKIS EDWARD H [US]","DUFFY JR NEIL F [US];  CHABOT JEFFREY R [US];  KISLAUSKIS EDWARD H [US];  ECW THERAPEUTICS INC [US]","C12M1/00","B01L3/5021; G01N15/042; G01N15/05; B01L3/505; B01L2200/025; B01L2300/123; G01N2015/0084; G01N2015/045; Y10T436/25375","US201113248508","20110929","US201113248508 20110929; US20100826074 20100629; US20060588835 20061027; US20050731058P 20051027","","","","","","","","","US3441205 (A); US3513976 (A); US3911918 (A); US3965889 (A); US4040959 (A); US4187861 (A); US4266559 (A); US4511349 (A); US4608178 (A); US4617009 (A); US4663032 (A); US5030215 (A); US6019716 (A); US6516953 (B1); US7179391 (B2); US7223346 (B2); US7337907 (B2); US7374678 (B2); US8048678 (B2); US2002006360 (A1); US2002052008 (A1); US2003205538 (A1); US2004217069 (A1); US2006273049 (A1); US2006273050 (A1); US2007265558 (A1); US2008171951 (A1); EP0493838 (A1); WO0060351 (A1)","","","","",""
"ROBOT MOTOR REHABILITATION DEVICE","US2012004581 (A1)","2012-01-05","DINON PIERO [IT]","DINON PIERO [IT];  M P D S R L [IT]","A61H1/02","A61H1/0237; A61H1/0244; A61H1/0255; A61H1/0266; A61H3/00; A61H3/008; A61H2201/1215; A61H2201/123; A61H2201/1463; A61H2201/149; A61H2201/1621; A61H2201/163; A61H2201/164; A61H2201/1642; A61H2201/165; A61H2201/1676","US201013138617","20100312","IT2009MI00435 20090320; WO2010EP01569 20100312","US2004116839 (A1); US2007123997 (A1); US2008249438 (A1); US2008255488 (A1); US5372561 (A); US6821233 (B1); US7331906 (B2); US2004005962 (A1)","","","","","","","","","","","","",""
"PRECISION-FOLDED, HIGH STRENGTH, FATIGUE-RESISTANT STRUCTURES AND SHEET THEREFOR","US2011287228 (A1); US8377566 (B2)","2011-11-24","DURNEY MAX W [US];  PENDLEY ALAN D [US]","DURNEY MAX W [US];  PENDLEY ALAN D [US];  IND ORIGAMI INC [US]","B32B3/30; B32B1/00; B32B3/02","E04B2/78; E04C2/08; E04C2/34; E04C3/02; E04C3/07; E04C3/083; E04C3/32; E04C3/34; E04C3/40; E06C7/08; B33Y80/00; E04C2003/043; E04C2003/0447; E04C2003/0465; E04C2003/0469; E04F2019/0427; Y10T428/12361; Y10T428/12368; Y10T428/13; Y10T428/15; Y10T428/24198; Y10T428/24264; Y10T428/24273; Y10T428/24281; Y10T428/24314; Y10T428/24479; Y10T428/2457; Y10T428/24612; Y10T428/24628","US201113010626","20110120","US201113010626 20110120; US20090468654 20090519; US20060384216 20060316; US20030672766 20030926; US20020256870 20020926; US20050663392P 20050317","US3090087 (A); US4628661 (A); US5789050 (A); US6132349 (A); US6210037 (B1); US6481259 (B1); US6640605 (B2); US7032426 (B2); US7374810 (B2); US7534501 (B2); US7560155 (B2); US2002184936 (A1); US2003037586 (A1); US2004134250 (A1); US2005061049 (A1); US2005064138 (A1); US2005097937 (A1); US2005126110 (A1); WO2004028937 (A2); US3090087 (A); US4628661 (A); US5789050 (A); US6132349 (A); US6210037 (B1); US6481259 (B1); US6640605 (B2); US7032426 (B2); US7374810 (B2); US7534501 (B2); US7560155 (B2); US2002184936 (A1); US2003037586 (A1); US2004134250 (A1); US2005061049 (A1); US2005064138 (A1); US2005097937 (A1); US2005126110 (A1); WO2004028937 (A2)","","","","","","","","US387651 (A); US624144 (A); US649387 (A); US649762 (A); US800365 (A); US975121 (A); US1295769 (A); US1405042 (A); US1468271 (A); US1557066 (A); US1698891 (A); US1699693 (A); US1810842 (A); US1746429 (A); US2127618 (A); US2158972 (A); US2339355 (A); US2423863 (A); US2480034 (A); US2484398 (A); US2512118 (A); US2515067 (A); US2560786 (A); US2625290 (A); US2638643 (A); US2771851 (A); US2825407 (A); US2869694 (A); US2880032 (A); US2882990 (A); US2901155 (A); US2916181 (A); US2926831 (A); US2948624 (A); US2976747 (A); US3039414 (A); US3094158 (A); US3094229 (A); US3095134 (A); US3107041 (A); US3107807 (A); US3120257 (A); US3135527 (A); US3156232 (A); US3159156 (A); US3191564 (A); US3216644 (A); US3217437 (A); US3228710 (A); US3258380 (A); US3313080 (A); US3318301 (A); US3341395 (A); US3353639 (A); US3357078 (A); US3361320 (A); US3455018 (A); US3474225 (A); US3521536 (A); US3538982 (A); US3590759 (A); US3626604 (A); US3638465 (A); US3638597 (A); US3666607 (A); US3688385 (A); US3717022 (A); US3731514 (A); US3756499 (A); US3774434 (A); US3779282 (A); US3788934 (A); US3851912 (A); US3854859 (A); US3862562 (A); US3867829 (A); US3878438 (A); US3879240 (A); US3882653 (A); US3890869 (A); US3907193 (A); US3914974 (A); US3938657 (A); US3943744 (A); US3952574 (A); US3963170 (A); US3994275 (A); US4004334 (A); US4011704 (A); US4027340 (A); US4058813 (A); US4102525 (A); US4120084 (A); US4132026 (A); US4133198 (A); US4133336 (A); US4141525 (A); US4145801 (A); US4166565 (A)","","","","",""
"WRIST EXOSKELETON","US2011282253 (A1)","2011-11-17","MENON CARLO [CA];  BOZENA KAMINSKA [CA];  XIAO ZHEN GANG [CA]","MENON CARLO [CA];  BOZENA KAMINSKA [CA];  XIAO ZHEN GANG [CA]","A61H1/02","A61F5/013; B25J9/0006","US20100887444","20100921","CA20092679505 20090921","US3707963 (A); US5653680 (A); US5967580 (A); US2001029343 (A1); US3631542 (A); US5683351 (A); US5800561 (A)","","","","","","","","","","","","",""
"Wearable Material Handling System","US2011266323 (A1); US8968222 (B2)","2011-11-03","KAZEROONI HOMAYOON [US];  HARDING NATHAN [US];  ANGOLD RUSSDON [US];  AMUNDSON KURT [US];  BURNS JON WILLIAM [US];  ZOSS ADAM [US]","UNIV CALIFORNIA [US];  BERKELEY BIONICS [US]","A45F3/00","B25J9/0006","US200913139933","20091217","US200913139933 20091217; US20080138751P 20081218; WO2009US68533 20091217","US5020790 (A); US7544155 (B2); US2005059908 (A1); US7628766 (B1); US2005279796 (A1); US5020790 (A); US7544155 (B2); US7628766 (B1); US2005059908 (A1); US2005279796 (A1)","","","","","","","","US3449769 (A); US6355335 (B1); US6666796 (B1); US6764231 (B1); US2006249315 (A1); US2006260620 (A1); US2006276728 (A1); US2007056592 (A1); US2007090143 (A1); US2007123997 (A1)","","","","",""
"PORTABLE LOAD LIFTING SYSTEM","US2011264014 (A1); US9333644 (B2)","2011-10-27","ANGOLD RUSSDON [US]","LOCKHEED CORP [US]","A61H1/02; B60P1/54; B66C23/00; B66D1/00; B66D1/08","B25J9/0006; B66D3/18","US201113084265","20110411","US201113084265 20110411; US20100322684P 20100409","US2010482 (A); US3964182 (A); US5016869 (A); US5020790 (A); US5865426 (A); US2006064047 (A1); US2009210093 (A1); US7628766 (B1); US2011214524 (A1); US2010482 (A); US3964182 (A); US5016869 (A); US5020790 (A); US5865426 (A); US7628766 (B1); US2006064047 (A1); US2009210093 (A1); US2011214524 (A1)","","","","","","","","US4258556 (A); US5993404 (A); US6886812 (B2); US6913583 (B2); US7153242 (B2); US7163518 (B1); US7571839 (B2); US7883546 (B2); US7947004 (B2); US8057410 (B2); US8070700 (B2); US8171570 (B2); US8231688 (B2); US8257291 (B2); US8394038 (B2); US8672865 (B2); US8702632 (B2); US8801641 (B2); US8894592 (B2); US8945028 (B2); US8968222 (B2); US9011354 (B2); US2003073552 (A1); US2003109817 (A1); US2003115954 (A1); US2005137717 (A1); US2006260620 (A1); US2007056592 (A1); US2007123997 (A1); US2007233279 (A1); US2009292369 (A1); US2010094185 (A1); US2011040216 (A1); US2011105966 (A1); US2011166489 (A1); US2011266323 (A1); US2012172770 (A1); US2012283845 (A1); US2013023800 (A1); US2013102935 (A1); US2013150980 (A1); US2013197408 (A1); US2013231595 (A1); US2013237884 (A1); US2013296746 (A1); US2013303950 (A1); US2014046234 (A1); US2014200491 (A1); US2015001269 (A1); JPH03105191U (U); JP3024978U (U); JP2003104682 (A); JP2009011818 (A); WO2012154580 (A1)","","","","",""
"Wearable Cable-Driven Exoskeleton for Functional Arm Training","US2011245738 (A1); US9144528 (B2)","2011-10-06","AGRAWAL SUNIL [US];  MAO YING [US];  SCHOLZ JOHN [US]","UNIV DELAWARE [US]","A61H1/02","A61H1/00; A61H1/02; A61H1/0274; A61H1/0277; B25J9/0006; B25J9/104; A61H1/0237; A61H2201/165; A61H2201/5007","US201113079534","20110404","US201113079534 20110404; US20090568541 20090928; US20100320470P 20100402; US20080100407P 20080926","US7481782 (B2); US2004106881 (A1); US4445502 (A); US2009192420 (A1); US4445502 (A); US7481782 (B2); US2004106881 (A1); US2009192420 (A1)","","","","","","","","US4180870 (A); US5501656 (A); US5601527 (A); US5865770 (A); US8142379 (B2); US2003120183 (A1); US2008161971 (A1); US2008304935 (A1); US2011245738 (A1)","","","","",""
"Method for constructing a product and fastener therefore","US2011197407 (A1); US8567021 (B2)","2011-08-18","MCCABE STEPHEN O [US]","MCCABE STEPHEN O","A44B17/00; B23P17/04","A42B1/004; A44B17/0023; F16B21/075; Y10T24/45178; Y10T24/45984; Y10T29/49826; Y10T29/49876; Y10T29/4998","US20100658685","20100213","US20100658685 20100213","US3551963 (A); US5615414 (A); US2791868 (A); US4183121 (A); US4796339 (A); USD500802S (S); US3869766 (A); US4143577 (A); US4577376 (A); US6353978 (B1); US3803670 (A); US4200900 (A); US6374455 (B1); USD567592S (S); US4926759 (A); US6233782 (B1); US5214800 (A); US5634210 (A); US2006124642 (A1); USD571162S (S); US3893208 (A); US4097930 (A); US5647107 (A); US6588367 (B1); US7237819 (B2); US2648110 (A); US4397061 (A); US5797784 (A); US3270943 (A); US3693494 (A); US3836703 (A); US3979802 (A); US4112815 (A); US5050279 (A); US6941582 (B2); US3213507 (A); US3349451 (A); US3909883 (A); US4297769 (A); US3777052 (A); US4629356 (A); US2791868 (A); US3551963 (A); US5615414 (A)","","","","","","","","US2648110 (A); US3213507 (A); US3270943 (A); US3349451 (A); US3693494 (A); US3777052 (A); US3803670 (A); US3836703 (A); US3869766 (A); US3893208 (A); US3909883 (A); US3979802 (A); US4097930 (A); US4112815 (A); US4143577 (A); US4183121 (A); US4200900 (A); US4297769 (A); US4397061 (A); US4577376 (A); US4629356 (A); US4796339 (A); US4926759 (A); US5050279 (A); US5214800 (A); US5634210 (A); US5647107 (A); US5797784 (A); US6233782 (B1); US6353978 (B1); US6374455 (B1); US6588367 (B1); USD500802S (S); US6941582 (B2); US7237819 (B2); USD567592S (S); USD571162S (S); US2006124642 (A1)","","","","",""
"METHOD FOR REMOTE MECHANISM ACTUATION AND EXOSKELETON APTIC INTERFACE BASED THEREON","US2011185835 (A1)","2011-08-04","BERGAMASCO MASSIMO [IT];  SALSEDO FABIO [IT];  FONTANA MARCO [IT]","SCUOLA SUPERIORE DI STUDI UNI S ANNA [IT]","B25J13/02","C12M23/10; B01L3/508; G01N2001/284; Y10T74/20012","US200913059589","20090831","DE20082014487U 20081031; WO2009IB06283 20090720","US2007089557 (A1); US2012179075 (A1); US8347710 (B2); US6558107 (B1); US5912658 (A); US2001020140 (A1)","","","","","","","","","","","","",""
"COMPACT EXOSKELETON ARM SUPPORT DEVICE TO COMPENSATE FOR GRAVITY","US2011164949 (A1); US8641782 (B2)","2011-07-07","KIM JEONG HUN [KR];  SHIM YOUNG BO [KR];  YANG SOO SANG [KR];  KIM YONG JAE [KR];  KIM KWANG JUN [KR]","SAMSUNG ELECTRONICS CO LTD [KR]","B25J1/00","B25J9/0006; Y10T74/20329","US20100979861","20101228","KR20100000988 20100106","US4180870 (A); US5845540 (A); US6301526 (B1); US2003223844 (A1); US7410338 (B2); US2009210093 (A1); US2010016766 (A1); US2010217163 (A1); US2010204804 (A1); US2012232698 (A1); US2012330198 (A1); US2007225620 (A1); US4180870 (A); US5845540 (A); US6301526 (B1); US7410338 (B2); US2003223844 (A1); US2007225620 (A1); US2009210093 (A1); US2010016766 (A1); US2010204804 (A1); US2010217163 (A1); US2012232698 (A1); US2012330198 (A1)","","","","","","","","","","","","",""
"APPARATUS FOR USING A PERSON'S HIPS TO CARRY THE LOAD OF MARCHING PERCUSSION EQUIPMENT OR OTHER OBJECTS WHICH ARE CARRIED NEAR WAIST-HEIGHT AND IN FRONT OF A PERSON","US2011162509 (A1); US8026433 (B2)","2011-07-07","PLACE NED ALLEN [US];  SHELTON MIKEL RUST [US]","MRS NAP LLC","G10D13/02","G10G5/005; Y10S224/91","US20100655772","20100107","US20100655772 20100107","US3554203 (A); US4634032 (A); US4799610 (A); US6172290 (B1); US7166790 (B2); US2973030 (A); US3120332 (A); US4139132 (A); US4644654 (A); US6024464 (A); US6028257 (A); US4256007 (A); US4438763 (A); US5400683 (A); US5887771 (A); US6866173 (B2); US7009097 (B1); US7671261 (B1); US725069 (A); US5199940 (A); US6213363 (B1); US6364186 (B1); US2007090143 (A1); US3322312 (A); US7709714 (B2); US1810519 (A); US3964182 (A); US4387839 (A); US4453442 (A); US7554024 (B2); US2008201 (A); US2123676 (A); US3140800 (A); US7071401 (B2); US7394008 (B2); US5941436 (A); US681886 (A); US3204650 (A); US4402441 (A); US6450377 (B1); US6619521 (B2); US7420110 (B2); US2484383 (A); US5054357 (A); US5060836 (A); US6308722 (B1); US903682 (A); US4483070 (A); US5464137 (A); US5691492 (A); US5836489 (A); US6323407 (B1); US6481108 (B1); US5072910 (A); US5076131 (A); US6155764 (A); US6329583 (B1); US725069 (A); US903682 (A); US1810519 (A); US2008201 (A); US2484383 (A); US2973030 (A); US3120332 (A); US3140800 (A); US3204650 (A); US3322312 (A); US3554203 (A); US3964182 (A); US4139132 (A); US4256007 (A); US4402441 (A); US4438763 (A); US4453442 (A); US4483070 (A); US4634032 (A); US4644654 (A); US5060836 (A); US5076131 (A); US5199940 (A); US5400683 (A); US5464137 (A); US5836489 (A); US5887771 (A); US5941436 (A); US6024464 (A); US6155764 (A); US6213363 (B1); US6308722 (B1); US6364186 (B1); US6450377 (B1); US6481108 (B1); US6619521 (B2); US6866173 (B2); US7009097 (B1); US7554024 (B2); US7671261 (B1); US7709714 (B2); US2007090143 (A1); US2011162509 (A1)","","","","","","","","US2123676 (A); US4387839 (A); US4799610 (A); US5054357 (A); US5072910 (A); US5691492 (A); US6028257 (A); US6172290 (B1); US6323407 (B1); US6329583 (B1); US6881886 (B2); US7071401 (B2); US7166790 (B2); US7394008 (B2); US7420110 (B2)","","","","",""
"DOOR JAMB SYSTEM AND METHOD OF INSTALLING SAME","US2011120033 (A1)","2011-05-26","STETSON JONATHAN T [US]","","E06B1/52; E04C3/02","E06B1/12","US20100841091","20100721","US20100841091 20100721; US20090227406P 20090721","US4154034 (A); US5283977 (A); US5857299 (A); US6371188 (B1); US6405506 (B2); US2005193653 (A1); US2005204657 (A1); US2006059798 (A1); US2006053707 (A1); US2006048466 (A1); US2006174545 (A1); US2007028537 (A1); US2008196313 (A1); US7533503 (B2); US7571574 (B2); US2011107713 (A1)","","","","","","","","","","","","",""
